name,bezirk,sorte,preis_eur,bewertung_gesamt,kruste,brot,fleisch,anmerkung,datum,foto_dateiname
Fleischerei Ringl,1060,"Scharf; Käse; Kräuter; Oliven; Curry",2.74,7.93,7.3,7.5,9.0,"Salzig, Heiß, vollmundig",2025-05-07,ringl.jpg
Alles Wurscht,1010,"Wildschwein; Käse",5.50,7.66,8.0,6.0,9.0,Ohne Käse war er besser,2025-03-06,alles_wurscht.jpg
Fleischerei Metzker,1170,Pikant,3.50,5.66,3.6,6.8,6.6,"Vollmundig, große Pfefferoni-Stücke, leider zu weich",2025-09-08,metzker.jpg
Leberkas-Pepi,1010,"Chili; Pikant; Röstzwiebel",4.64,8.10,6.0,9.6,8.7,"Kren, Süßer Senf. Brot: Laugen/Salzweckerl.",2025-04-03,leberkas_pepi.jpg
Pferdefleischerei Gumprecht,1220,"Pikant (Pferd)",4.00,7.80,9.0,6.0,8.4,Luftig,2025-03-18,gumprecht.jpg
Radatz,1020,"Pikant; Halloween",3.75,7.60,6.5,8.8,7.5,"Gute Pfefferoni-Note – leider mit Käse; Halloween coole Farbe",2025-10-21,radatz.jpg
Praterwirt,1020,"Salz-Ox; Pikant",5.00,6.60,5.6,7.0,7.2,Mit Kren & Senf,2025-03-13,praterwirt.jpg
Klaghofer,,Pikant,2.97,8.50,7.0,9.5,9.0,Sehr gut,2026-03-02,
Crazy Butcher,1030,Chili-Cheese,4.00,8.03,7.0,7.9,9.2,"Perfekte Temperatur, normaler Chili Leberkäse wäre perfekt",2025-10-17,crazy_butcher.jpg
Fleischerei Kröppel,1010,"Pikant; Käse",3.50,7.60,7.0,8.6,7.2,"Solide, klassischer Leberkäse, für Wien überdurchschnittlich",2025-10-08,kroppel.jpg
Palatin die Biofleischerei,1030,Angusrind Chili,3.60,8.56,8.5,8.2,9.0,"Hoher Speckanteil, gute Würze, rötlich. Am Rochusmarkt.",2025-10-17,palatin.jpg
Fa. Schneider,1020,"Normal; Käse",3.60,6.96,7.0,6.8,7.1,So sollte der Billa-Leberkäse schmecken! Am Karmelitermarkt.,2025-10-21,schneider.jpg
Klaus Koglbauer (Gumprecht),1020,Pferde Pfefferoni,3.80,7.90,8.6,6.9,8.2,Perfekte Hitze,2025-10-21,koglbauer.jpg
Ausgabe 1090,1090,"Wildschwein; Pistazien",7.80,7.36,6.8,7.2,8.1,"Guter Geruch, fehlende Pistazien, fehlender Bärlauch, angeröstetes Brot",2025-10-29,ausgabe.jpg
Fleischerei Stierschneider,1150,Pikant,3.90,7.73,7.0,6.9,9.3,Scheibe etwas zu dünn – insbesondere für dieses Brot,2025-02-03,stierschneider.jpg
Fleischerei Gissinger,,"Käse; Chili-Cheese",5.50,6.40,4.0,8.2,7.0,"Fleisch leider raumtemperiert, Qualität sehr hoch",2025-05-13,
Leitenbauer Delikatessen,1070,"Kalbsleberkäse; Ochse mit Käse; Wildschwein",4.00,8.56,7.1,9.6,9.0,Temperatur & Größe ausbaufähig,2025-11-04,leitenbauer.jpg
Fleischerei Harald Fischer Pulkau,1090,Pikant,3.50,8.16,8.7,7.0,8.8,Kruste schmeckt wie die langen Knabanossi. Am Servitenmarkt.,2025-11-20,fischer.jpg
Genussboutique Waldgut,1190,Chili-Cheese,5.00,8.23,8.5,8.0,8.2,Schöne Boutique. Auch in der Markthalle (1060).,2025-12-05,waldgut_1190.jpg
Sonnberg Biofleisch,1190,"Käse; Normal",3.84,7.80,7.0,8.0,8.4,Nur Käse & Normal,2025-12-05,sonnberg.jpg
Blün,1060,"Wels (Pikant)",4.50,7.23,7.5,6.2,8.0,Könnte dicker & heißer sein. Fischleberkäse. In der Markthalle.,2026-01-15,blun.jpg
MyKas by XXXLutz,,"Der Heurige; Der Bayer; Der Mexikaner; Der Bauer",2.50,4.00,1.0,7.0,4.0,Bonus-Punkte fürs Topping!,2026-02-13,
Landbison,,,,,,,,,,
Fleischerei Hödl,,,,,,,,,,
Gugumuck,,,,,,,,,,
Eder,,,,,,,,,,
Heunisch & Erben,,,,,,,,,,
Fleischerei Andreas Mader,,,,,,,,,,
Fleischerei Christian Landl,,,,,,,,,,
Fleisch und Wurstwaren Ing. Traxler Andreas,,,,,,,,,,
Feinkosterei,,,,,,,,,,
Friedrich Szabo,,,,,,,,,,
Thum Schinken Bio Markt Freyung,,,,,,,,,,
Fleischerei Steirisch Gutmann,,,,,,,,,,
Markt Lange Gasse,,,,,,,,,,
Bar Barbara,1090,,,,,,,,,
